Name,Count - Council Tax Band A,Count - Council Tax Band B,Count - Council Tax Band C,Count - Council Tax Band D,Count - Council Tax Band E,Count - Council Tax Band F,Count - Council Tax Band G,Count - Council Tax Band H
Ancoats & Beswick,2395,1663,2169,680,114,21,0,0
Ardwick,5938,1693,579,93,27,0,0,0
Baguley,4974,846,601,223,83,30,0,0
Brooklands,3486,1639,910,558,272,75,32,0
Burnage,4112,840,1668,128,39,0,0,0
Charlestown,5279,1316,567,212,13,0,0,0
Cheetham,4491,1139,687,783,53,5,0,0
Chorlton,1435,1863,1973,451,312,48,14,0
Chorlton Park,3718,1024,1380,819,261,51,21,0
Clayton & Openshaw,6373,1010,407,25,0,0,0,0
Crumpsall,3980,1564,698,232,35,10,10,0
Deansgate,1129,541,1678,2603,1287,367,89,24
Didsbury East,883,645,2768,1280,284,271,164,1
Didsbury West,1738,1421,1807,1261,739,588,285,19
Fallowfield,2984,917,786,151,55,1,0,10
Gorton & Abbey Hey,7059,1165,281,30,10,0,0,0
Harpurhey,6933,1089,272,161,16,0,0,0
Higher Blackley,5191,1024,578,151,28,10,0,0
Hulme,4417,2242,1263,610,243,30,20,0
Levenshulme,5543,1130,744,62,11,0,0,0
Longsight,5068,1252,296,0,0,0,0,0
Miles Platting & Newton Heath,7041,792,319,28,10,0,0,0
Moss Side,6459,733,251,76,49,3,0,0
Moston,4701,2032,886,91,18,0,0,0
Northenden,3383,1349,1153,354,175,95,8,0
Old Moat,3204,1053,1098,593,152,32,1,0
Piccadilly,816,799,1730,2035,565,156,41,6
Rusholme,3392,1192,968,256,56,57,0,0
Sharston,4614,1133,707,335,110,0,0,0
Whalley Range,3856,1146,903,711,112,10,20,0
Withington,1894,1406,2006,328,271,80,5,0
Woodhouse Park,5672,872,140,80,40,20,10,0
