Name;Count - Council Tax Band A;Count - Council Tax Band B;Count - Council Tax Band C;Count - Council Tax Band D;Count - Council Tax Band E;Count - Council Tax Band F;Count - Council Tax Band G;Count - Council Tax Band H;Total;Above Average
Ancoats & Beswick;2395;1663;2169;680;114;21;0;0;7042;N
Ardwick;5938;1693;579;93;27;0;0;0;8330;Y
Baguley;4974;846;601;223;83;30;0;0;6757;N
Brooklands;3486;1639;910;558;272;75;32;0;6972;N
Burnage;4112;840;1668;128;39;0;0;0;6787;N
Charlestown;5279;1316;567;212;13;0;0;0;7387;Y
Cheetham;4491;1139;687;783;53;5;0;0;7158;Y
Chorlton;1435;1863;1973;451;312;48;14;0;6096;N
Chorlton Park;3718;1024;1380;819;261;51;21;0;7274;Y
Clayton & Openshaw;6373;1010;407;25;0;0;0;0;7815;Y
Crumpsall;3980;1564;698;232;35;10;10;0;6529;N
Deansgate;1129;541;1678;2603;1287;367;89;24;7718;Y
Didsbury East;883;645;2768;1280;284;271;164;1;6296;N
Didsbury West;1738;1421;1807;1261;739;588;285;19;7858;Y
Fallowfield;2984;917;786;151;55;1;0;10;4904;N
Gorton & Abbey Hey;7059;1165;281;30;10;0;0;0;8545;Y
Harpurhey;6933;1089;272;161;16;0;0;0;8471;Y
Higher Blackley;5191;1024;578;151;28;10;0;0;6982;N
Hulme;4417;2242;1263;610;243;30;20;0;8825;Y
Levenshulme;5543;1130;744;62;11;0;0;0;7490;Y
Longsight;5068;1252;296;0;0;0;0;0;6616;N
Miles Platting & Newton Heath;7041;792;319;28;10;0;0;0;8190;Y
Moss Side;6459;733;251;76;49;3;0;0;7571;Y
Moston;4701;2032;886;91;18;0;0;0;7728;Y
Northenden;3383;1349;1153;354;175;95;8;0;6517;N
Old Moat;3204;1053;1098;593;152;32;1;0;6133;N
Piccadilly;816;799;1730;2035;565;156;41;6;6148;N
Rusholme;3392;1192;968;256;56;57;0;0;5921;N
Sharston;4614;1133;707;335;110;0;0;0;6899;N
Whalley Range;3856;1146;903;711;112;10;20;0;6758;N
Withington;1894;1406;2006;328;271;80;5;0;5990;N
Woodhouse Park;5672;872;140;80;40;20;10;0;6834;N
Manchester;132158;38530;32273;15400;5440;1960;720;60;226541;NYNNNYYNYYNYNYNYYNYYNYYYNNNNNNNN
